position,car_id,driver_name,team,laps_completed,total_time,total_distance,battery_remaining,tire_degradation
1,9,Driver 9,Team D,5,224.12205505371094,9738.3271484375,73.31416383795428,0.002021046355366707
2,3,Driver 3,Team C,4,224.12205505371094,9716.5615234375,73.41265849565022,0.0020206000190228224
3,5,Driver 5,Team E,4,224.12205505371094,9708.123046875,73.45881994434988,0.002020304324105382
4,6,Driver 6,Team A,4,224.12205505371094,9664.64453125,73.6312152170959,0.0020196903496980667
5,8,Driver 8,Team C,4,224.12205505371094,9656.6044921875,73.68664797594187,0.002019499661400914
6,10,Driver 10,Team E,4,224.12205505371094,9639.619140625,73.72052423600482,0.0020193946547806263
7,2,Driver 2,Team B,4,224.12205505371094,9628.4990234375,73.8051752235991,0.0020191241055727005
8,4,Driver 4,Team D,4,224.12205505371094,9622.0439453125,73.83729773031153,0.002019015606492758
9,7,Driver 7,Team B,4,224.12205505371094,9589.1357421875,74.08005968778971,0.002018480561673641
10,1,Driver 1,Team A,4,224.12205505371094,9574.359375,74.20454243757632,0.0020182905718684196
