Position,Driver,Laps,Best Lap,Last Lap,Battery %,Tire Deg %,Overtakes,Status
1,Driver 1,0,N/A,N/A,100.0,100.0,0,Retired
2,Driver 2,0,N/A,N/A,100.0,100.0,0,Retired
3,Driver 3,0,N/A,N/A,100.0,100.0,0,Retired
4,Driver 4,1,90.000,90.000,100.0,100.0,0,Retired
5,Driver 5,0,N/A,N/A,100.0,41.4,0,Retired
6,Driver 6,0,N/A,N/A,100.0,100.0,0,Retired
7,Driver 7,0,N/A,N/A,100.0,100.0,0,Retired
8,Driver 8,1,90.000,90.000,100.0,100.0,0,Retired
9,Driver 9,0,N/A,N/A,100.0,100.0,0,Retired
10,Driver 10,3,90.000,90.000,100.0,100.0,0,Retired
11,Driver 11,0,N/A,N/A,100.0,100.0,0,Retired
12,Driver 12,0,N/A,N/A,100.0,100.0,0,Retired
13,Driver 13,0,N/A,N/A,100.0,79.2,0,Retired
14,Driver 14,0,N/A,N/A,100.0,100.0,0,Retired
15,Driver 15,5,90.000,90.000,100.0,100.0,0,Retired
16,Driver 16,1,90.000,90.000,100.0,100.0,0,Retired
17,Driver 17,0,N/A,N/A,100.0,65.1,0,Retired
18,Driver 18,8,90.000,90.000,100.0,100.0,0,Retired
19,Driver 19,1,90.000,90.000,100.0,100.0,0,Retired
20,Driver 20,0,N/A,N/A,100.0,100.0,0,Retired
21,Driver 21,0,N/A,N/A,100.0,100.0,0,Retired
22,Driver 22,1,90.000,90.000,100.0,100.0,0,Retired
23,Driver 23,3,90.000,90.000,100.0,100.0,0,Retired
24,Driver 24,0,N/A,N/A,100.0,100.0,0,Retired
